extract_date,id,title,street_name,general_address,apartment_type,stock,total_area,used_area,rooms,bedrooms,bathrooms,cold_rent,total_rent,condition
yesterday,111639451,Erstbezug im Neubau nahe Altstadt Köpenick und Müggelspree,Am Amtsgraben ,"12559 Berlin, Köpenick (Köpenick)",Sonstige,3 von 5,"103,25 m²",,4,,,"1.135,75 €","1.373,23 €",Gepflegt
yesterday,111639450,Großzügig geschnittene Wohnung mit Dusche und Wanne zu vermieten,Am Amtsgraben ,"12559 Berlin, Köpenick (Köpenick)",Sonstige,2 von 5,"103,25 m²",,4,,,"1.109,94 €","1.347,42 €",Gepflegt
yesterday,111639371,Großzügige Wohnung plus Apartment in bester Lage,,14193 Berlin,,,,,,,,,,
yesterday,111637544,Altbau-Charme mit Vollausstattung - hochwertig und ruhig mit viel Liebe zum Detail !,SimonDachStraße ,"10245 Berlin, Friedrichshain (Friedrichshain)",Etagenwohnung,3 von 5,150 m²,,5,2,2,2.180 €,2.495 €,Vollständig renoviert
yesterday,111637351,Maisonette Wohnung mit Garten sucht nette Familie.,Parkstr. e,"13585 Berlin, Spandau (Spandau)",Maisonette,0,"89,41 m²",,4,,,"876,68 €","1.186,65 €",Modernisiert
yesterday,111637326,Noch vor dem Jahreswechsel einziehen,Oschatzer Ring ,"12627 Berlin, Hellersdorf (Hellersdorf)",Etagenwohnung,5,"35,23 m²",,1,,,"345,55 €","446,91 €",Modernisiert
yesterday,111637279,SENIORENWOHNUNG nahe dem Schlachtensee!,Beerenstr. ,"14163 Berlin, Zehlendorf (Zehlendorf)",Etagenwohnung,2,"31,69 m²",,1,,,"335,97 €","466,74 €",Gepflegt
yesterday,111636531,"Zwischenmieter für 2 Jahre! 3-Zimmer-Apartment, auch 2er WG geeignet",Ebertystraße ,"10249 Berlin , Friedrichshain (Friedrichshain)",,,,,,,,,,
yesterday,111635925,"Treptow-Köpenick - zwischen S-Bhf. Schöneweide und Spree, Nähe Zentrum Schöneweide",Fennstraße ,"12439 Berlin, Niederschöneweide (Treptow)",Etagenwohnung,2 von 5,63 m²,63 m²,2,1,1,471 €,709 €,
yesterday,111634436,Wohnung sucht kleine Familie,Westerwaldstr. ,"13589 Berlin, Spandau (Spandau)",Etagenwohnung,5,"76,25 m²",,3,,,"480,38 €","772,61 €",Vollständig renoviert
yesterday,111634376,DG Wohnung im Baudenkmal - sehr hohe Räume - 3 Zi - Erstbezug - Echtholz Parkett - teilgew. nutzbar,Leonorenstr. ,"12247 Berlin, Lankwitz (Steglitz)",Dachgeschoss,3 von 3,83 m²,83 m²,3,1,1,996 €,1.197 €,Gepflegt
yesterday,111633242,"LAGE, LAGE, LAGE! Wohnen im coolstem Kiez Berlins",Pettenkofer Straße ,"10247 Berlin, Friedrichshain (Friedrichshain)",Etagenwohnung,,"72,53 m²","72,53 m²",2,2,1,"870,36 €","1.102,46 €",
yesterday,111633224,"Schöne zwei Zimmer Wohnung in Berlin, Adlershof (Treptow)",Zinsgutstraße ,"12489 Berlin, Adlershof (Treptow)",Etagenwohnung,1 von 3,"55,32 m²",,2,,1,"442,56 €","583,45 €",Gepflegt
yesterday,111633162,Leben im Kiez? Hier ist es möglich!,Pettenkoferstraße ,"10247 Berlin, Friedrichshain (Friedrichshain)",,,"89,68 m²","89,68 m²",2,2,1,"1.076,16 €","1.363,14 €",
yesterday,111632485,Frisch sanierte Balkon-Wohnung in gefragter Kiezlage,Schonensche Straße ,"13189 Berlin, Pankow (Pankow)",Etagenwohnung,1 von 5,"79,99 m²",,4,,1,1.049 €,1.285 €,Erstbezug nach Sanierung
yesterday,111631763,"Parklage nähe S-Bahnhof Karlshorst, Parkett, kleiner Dachterrasse!",Rheingoldstr. ,"10318 Berlin, Karlshorst (Lichtenberg)",Dachgeschoss,3 von 3,58 m²,58 m²,2,1,1,700 €,855 €,
yesterday,111631748,Zentral gelegener Altbau mit sonnigem Balkon !,Pettenkoferstraße ,"10247 Berlin, Friedrichshain (Friedrichshain)",Etagenwohnung,4 von 5,"89,68 m²",,2,2,1,"1.076,16 €","1.363,14 €",Gepflegt
yesterday,111631742,Praktische Altbauwohnung mit Balkon !,Pettenkoferstraße ,"10247 Berlin, Friedrichshain (Friedrichshain)",Etagenwohnung,3 von 5,"72,53 m²",,2,2,1,"870,36 €","1.102,46 €",Gepflegt
yesterday,111631608,Seniorenwohnung in idyllischer Lage!,Beerenstr. ,"14163 Berlin, Zehlendorf (Zehlendorf)",Etagenwohnung,1,"29,34 m²",,1,,,311 €,"452,09 €",Gepflegt
yesterday,111630954,Praktisch geschnittene Familienwohnung an Handwerker mit WBS ,Kaiserallee ,"12277 Berlin, Marienfelde (Tempelhof)",Sonstige,3,"76,36 m²",,3,,1,"503,21 €","795,21 €",Nach Vereinbarung
yesterday,111621002,*5 ZIMMERWOHNUNG - LICHTDURCHFLUTET - SEHR GROSSZÜGIG*,Burgemeisterstr. ,"12103 Berlin - Tempelhof, Tempelhof (Tempelhof)",Etagenwohnung,1 von 3,253 m²,,5,4,1,1.399 €,2.199 €,Neuwertig
yesterday,111620838,*2 ZIMMER WOHNUNG MIT BALKON- ERSTBEZUG NACH SANIERUNG*,Steinmetzstrasse b,"10783 Berlin - Schöneberg, Schöneberg (Schöneberg)",Etagenwohnung,1 von 8,64 m²,,2,,1,699 €,899 €,Erstbezug nach Sanierung
yesterday,111620201,Modernes Wohnen am Spittelmarkt - Erstbezug!,Kommandantenstraße ,"10117 Berlin, Mitte (Mitte)",Etagenwohnung,5,87 m²,,3,2,2,1.480 €,1.760 €,Neuwertig
yesterday,111619619,Modernisierter Altbau,Bundesplatz  Aufgang C,"10715 Berlin, Wilmersdorf (Wilmersdorf)",Etagenwohnung,4 von 4,"85,54 m²",,2,,,916 €,1.120 €,
yesterday,111619452,Gewerbeflächen im Herzen Berlin-Charlottenburg,,14059 Berlin,Loft,1 von 2,700 m²,,2,,4,0 €,0 €,
yesterday,111619272,"Große, sanierte Wohnung in Spandau ! Mit Tanzsaal !",Mittelstr. ,"13585 Berlin, Spandau (Spandau)",,,98 m²,,3,1,1,"999,60 €","1.146,60 € (zzgl. Heizkosten)",Modernisiert
yesterday,111619204,Gemütliches Wohnen mit viel Luxus * Erstbezug * ruhige Lage,Kommandantenstraße ,"10117 Berlin, Mitte (Mitte)",Erdgeschosswohnung,0 von 7,51 m²,,1,1,1,775 €,925 €,Erstbezug
yesterday,111617161,"Geräumige und ruhige 2-Zimmer-Wohnung zur Miete in Karlshorst (Lichtenberg), Berlin Nähe S Bahn",Stolzenfelsstraße ,"10318 Berlin, Karlshorst (Lichtenberg)",,,,,,,,,,
yesterday,111616942,Tolle 3-Zimmer-Altbauwohnung mit Balkon im Westend,Spandauer Damm ,"14059 Berlin, Charlottenburg (Charlottenburg)",Etagenwohnung,2 von 4,"94,8 m²","94,8 m²",3,2,1,950 €,1.130 €,Saniert
yesterday,111616587,1-Zimmer-Altbauwohnung im Westend,Spandauer Damm ,"14059 Berlin, Charlottenburg (Charlottenburg)",Etagenwohnung,1 von 4,37 m²,37 m²,1,0,1,395 €,490 €,Saniert
yesterday,111616001,"Stadtvilla im Grünen – moderne Architektur – 3 Zimmer – Balkon, Fahrstuhl",,13156 Berlin - Siegfriedstraße,,1,"78,45 m²",,3,,,909 €,1.099 €,Gepflegt
yesterday,111615604,"1.199 €, 110 m², 4 Zimmer",Jugendweg ,"13629 Berlin, Siemensstadt (Spandau)",Etagenwohnung,,110 m²,,4,,,1.199 €,1.199 € (zzgl. Nebenkosten & Heizkosten),
yesterday,111613387,Zauberhafte DG-Maisonette mit Dachterrasse: Traumlage Kastanienallee!,Kastanienallee ,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg)",Dachgeschoss,4 von 4,"82,65 m²",,3,2,1,1.399 €,1.647 €,Neuwertig
yesterday,111612968,Nachmieter für großzügig geschnittene Wohnung gesucht!,Glauchauer Str. ,"12627 Berlin, Hellersdorf (Hellersdorf)",Etagenwohnung,4,"52,94 m²",,2,,,"405,22 €","554,75 €",Modernisiert
yesterday,111612756,Gut geschnitten mit viel Luxus * Erstbezug *,Kommandantenstraße ,"10117 Berlin, Mitte (Mitte)",Erdgeschosswohnung,0 von 7,69 m²,,2,1,1,990 €,1.180 €,Erstbezug
yesterday,111611910,Erstbezug nach Sanierung - 1-Zimmer Altbauwohnung mit Wohnküche im beliebten Bayerischen Viertel,Güntzelstr. ,"10717 Berlin, Wilmersdorf (Wilmersdorf)",Etagenwohnung,1,"60,51 m²",,1,1,1,"689,21 €","889,21 €",Saniert
yesterday,111610607,"Schöne zwei Zimmer Wohnung in Berlin, Köpenick",Am Werksgarten ,"12555 Berlin, Köpenick (Köpenick)",Etagenwohnung,3 von 3,"55,54 m²",,2,,1,750 €,908 €,
yesterday,111610050,TOP- modernisierte Familienwohnung,Murtzaner Ring ,"12681 Berlin, Marzahn (Marzahn)",Etagenwohnung,5,"68,28 m²",,2,,,"546,25 €","723,34 €",Modernisiert
yesterday,111610048,Modernisierter Wohntraum,Murtzaner Ring ,"12681 Berlin, Marzahn (Marzahn)",Etagenwohnung,4,"35,25 m²",,1,,,"387,76 €","485,84 €",Modernisiert
